Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1981,5348.0,6605.0,1119.0,0.02,0,1,0.6,0,0.24913838842483715,0,0.0,0,0.02,0.3695965143461422,0.43642119451058925,0.1867157979021039,0.3597084099603472
1982,6363.367,6658.965,1292.0,0.01,0,0,0.2,0,0.052127493309418176,0,0.0,0,0.02,0.3263977263200935,0.38528118896192665,0.1867157979021039,0.35865704154267475
1983,7387.408,8806.318,681.0,0.03,0,0,0.0,0,0.09220904386432692,0,0.0,0,0.04,0.23022780905108176,0.34454685821316683,0.1867157979021039,0.3585837458796406
1984,6330.809,8106.534,769.0,0.024,0,0,0.2,0,0.21605303741769138,0,0.06719367588932806,0,0.27,0.13328069730979214,1.05211300668581,0.1867157979021039,0.3575528371892982
1985,7644.533,5312.194,1449.0,0.011,0,0,0.0,0,0.19813655759118826,0,0.06719367588932806,0,0.09,0.8253531010519216,0.7389595886082571,0.1867157979021039,0.35703060453570123
1986,9494.0,6797.0,1480.0,0.012,0,0,0.2,0,0.1517438343336696,0,0.0,0,0.08,0.434139165896601,0.7572820348888829,0.1867157979021039,0.3563537707324017
1987,8783.263,5458.917,1292.699,0.0025,0,0,0.0,0,0.06497805409570788,0,0.06818181818181818,0,0.01,0.6014392923595357,1.0105890126760422,0.37251395480634897,0.35619299014228145
1988,9466.0,6973.0,1451.0,0.01,0,0,0.0,0,0.11487381034059022,0,0.06719367588932806,0,0.01,0.49501945391610724,0.8215321450782189,0.1867157979021039,0.3558025163344106
1989,5863.0,3931.0,844.0,0.0025,0,0,0.2,0,0.26938506231229786,0,0.06818181818181818,0,0.03,0.4807567579028462,0.5624928213775588,1.377,0.35549226596232436
1990,5265.87,6328.584,1308.0,0.011,0,0,0.4,0,0.03374681466785166,0,0.0,0,0.08,0.324823880447794,-0.054347715125879874,0.555,0.35333364413681834
1991,7585.278,6345.557,1298.502,0.011,0,0,0.4,0,0.059627566643191444,0,0.06719367588932806,0,0.07,1.0458078355366571,0.9305883731165354,0.1867157979021039,0.35301811356877205
1992,7444.054,7339.262,1281.0,0.321,1,0,0.4,1,0.7351928062332271,1,1.0,1,0.83,0.4258409498054846,0.9106808113393875,0.6181337712268828,0.35258723728610647
1993,5747.685,5881.423,1150.0,0.0025,0,0,0.0,0,0.1361007665662187,0,0.0,0,0.01,0.32754668748947197,0.32975290617693426,0.1867157979021039,0.3518096846315631
1994,6418.026,7869.974,941.609,0.114,1,0,0.2,0,0.09790034215613291,0,0.4666666666666667,0,0.19,0.27942217721771456,0.7182697802552938,0.4765442467801234,0.35042961889436275
1995,7866.813,5725.574,1465.839,0.025,0,0,0.2,0,0.2550514138321038,0,0.06719367588932806,0,0.11,0.3562133620127618,0.9120432872771738,0.1867157979021039,0.3494499726367423
1996,9908.209,6530.959,1455.0,0.016,0,0,0.0,0,0.02773635448426253,0,0.06719367588932806,0,0.04,0.3156281459320887,1.190244374331342,0.1867157979021039,0.3475608167558555
