Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
190,5528.433,7720.967,753.0,0.0025,0,0,0.0,0,0.02841503436788811,0,0.0,0,0.0,1.7570479619914274
191,5752.0,7944.0,632.0,0.005,0,1,0.6,0,0.10535470813599221,0,0.0,0,0.01,1.7570479619914274
192,6350.0,7607.0,906.0,0.024,0,0,0.0,0,0.16080005591977956,0,0.06719367588932806,0,0.03,1.746212564020189
193,6529.129,7813.508,941.609,1.999,1,0,0.2,0,0.14018614548710684,1,0.8888888888888888,1,0.82,1.733030970158923
194,7595.0,6888.0,1280.0,0.007,0,0,0.0,0,0.15483062470682038,0,0.0,0,0.04,1.7227610857061566
195,10792.955,7196.518,1359.29,0.0025,0,0,0.0,0,0.0667269019253785,0,0.0,0,0.01,1.7145118848005523
196,8769.0,5532.67,1306.81,0.0025,0,0,0.0,0,0.18785010977814054,0,0.0,0,0.04,1.7056460535215965
197,6504.192,7831.845,933.0,0.771,1,0,0.4,0,0.16721212808927582,1,0.8888888888888888,1,0.8,1.6764262988169722
198,6259.677,7147.453,1169.099,2.136,1,1,1.0,1,0.9994581775266617,1,1.0,1,0.81,1.6738592000755417
199,6530.714,7826.906,945.0,2.496,1,1,0.8,0,0.16519123126159727,1,0.8888888888888888,1,0.79,1.6661998397765192
200,5747.345,7762.019,756.0,0.006,0,0,0.0,0,0.10621984134871046,0,0.0,0,0.02,1.6476171795811592
201,7651.098,7262.602,1258.0,1.881,1,1,1.0,1,0.9999797961217572,1,1.0,1,0.83,1.6435694735328819
202,6614.474,7625.654,1054.389,0.09,0,0,0.2,0,0.15330740072476304,0,0.06818181818181818,0,0.05,1.6429742373718794
203,9484.0,6782.0,1481.0,0.0025,0,0,0.2,0,0.1385999878348954,0,0.06719367588932806,0,0.04,1.6429742373718794
204,4605.0,6333.0,1010.0,0.272,1,0,0.4,1,0.917527944900248,1,1.0,0,0.47,1.6421695487073125
205,4375.226,6417.477,830.0,8.707,1,1,0.8,1,0.9994225200743782,1,1.0,1,0.81,1.6421695487073125
206,5736.0,7994.0,610.0,0.0025,0,0,0.0,0,0.04806122790181736,0,0.0,0,0.0,1.6268296051007707
207,6325.0,7608.0,919.0,0.025,0,0,0.2,0,0.2637443454838566,0,0.06719367588932806,0,0.04,1.6131060244864108
208,5266.044,7286.197,716.069,2.02,1,1,0.6,1,0.6830802039040462,1,1.0,1,0.88,1.6131060244864102
